iter	Passed	Remaining
0	133	133203
1	135	67693
2	137	45585
3	140	34990
4	143	28497
5	144	23989
6	146	20799
7	148	18462
8	150	16588
9	152	15088
10	156	14091
11	159	13107
12	160	12222
13	163	11485
14	165	10844
15	166	10268
16	169	9776
17	172	9401
18	174	8999
19	176	8643
20	178	8298
21	179	7981
22	181	7699
23	182	7441
24	184	7201
25	186	6991
26	187	6770
27	188	6560
28	190	6365
29	191	6189
30	192	6025
31	193	5868
32	195	5720
33	196	5578
34	197	5457
35	199	5339
36	200	5222
37	201	5102
38	202	4988
39	203	4879
40	204	4776
41	205	4681
42	206	4590
43	207	4498
44	207	4411
45	208	4327
46	209	4248
47	210	4170
48	211	4102
49	212	4035
50	213	3975
51	214	3910
52	215	3845
53	215	3783
54	216	3723
55	217	3666
56	218	3611
57	219	3558
58	219	3508
59	220	3457
60	221	3409
61	222	3362
62	222	3316
63	223	3272
64	224	3229
65	226	3200
66	227	3163
67	228	3130
68	229	3092
69	229	3054
70	230	3018
71	231	2982
72	232	2948
73	233	2916
74	233	2884
75	234	2853
76	235	2823
77	236	2793
78	237	2763
79	237	2734
80	238	2706
81	239	2679
82	239	2650
83	240	2627
84	242	2606
85	243	2584
86	243	2559
87	244	2535
88	245	2511
89	246	2488
90	246	2465
91	247	2442
92	248	2421
93	249	2400
94	249	2379
95	250	2359
96	251	2339
97	252	2319
98	252	2299
99	253	2280
100	254	2262
101	255	2245
102	255	2228
103	257	2215
104	257	2198
105	258	2181
106	259	2163
107	259	2146
108	260	2130
109	261	2114
110	262	2099
111	262	2083
112	263	2068
113	264	2053
114	264	2038
115	265	2024
116	266	2009
117	266	1994
118	267	1980
119	268	1967
120	269	1956
121	270	1944
122	271	1933
123	272	1923
124	273	1911
125	273	1898
126	274	1885
127	274	1873
128	275	1861
129	276	1849
130	277	1837
131	277	1826
132	278	1816
133	279	1804
134	279	1793
135	280	1783
136	281	1772
137	282	1762
138	282	1752
139	283	1743
140	285	1736
141	286	1728
142	287	1720
143	288	1712
144	288	1703
145	289	1694
146	290	1684
147	291	1676
148	292	1669
149	293	1660
150	293	1652
151	294	1644
152	295	1635
153	296	1626
154	296	1618
155	297	1611
156	298	1603
157	299	1598
158	300	1591
159	301	1583
160	301	1573
161	302	1565
162	303	1557
163	303	1549
164	304	1542
165	305	1536
166	306	1529
167	307	1522
168	308	1514
169	308	1507
170	309	1500
171	310	1492
172	310	1485
173	311	1479
174	313	1475
175	314	1472
176	315	1466
177	316	1459
178	316	1452
179	317	1446
180	318	1440
181	319	1434
182	319	1428
183	320	1421
184	321	1415
185	321	1409
186	322	1402
187	323	1396
188	324	1390
189	326	1393
190	328	1391
191	329	1385
192	330	1379
193	330	1373
194	331	1367
195	332	1362
196	332	1357
197	333	1351
198	334	1346
199	335	1340
200	335	1335
201	336	1330
202	337	1326
203	338	1320
204	339	1316
205	340	1312
206	342	1312
207	344	1310
208	345	1306
209	345	1301
210	346	1296
211	347	1291
212	348	1286
213	348	1280
214	349	1275
215	350	1270
216	350	1265
217	351	1260
218	351	1255
219	352	1250
220	354	1248
221	355	1244
222	356	1242
223	357	1238
224	358	1234
225	359	1230
226	359	1225
227	360	1220
228	361	1216
229	361	1211
230	362	1207
231	363	1203
232	364	1199
233	365	1195
234	366	1191
235	366	1187
236	367	1184
237	368	1180
238	369	1176
239	370	1173
240	371	1169
241	372	1165
242	372	1161
243	373	1156
244	374	1152
245	374	1148
246	375	1144
247	376	1140
248	377	1137
249	377	1133
250	378	1129
251	379	1125
252	379	1121
253	380	1118
254	381	1114
255	382	1111
256	383	1108
257	384	1105
258	385	1102
259	386	1098
260	386	1095
261	387	1091
262	388	1087
263	388	1084
264	389	1080
265	390	1076
266	391	1073
267	391	1069
268	392	1066
269	392	1062
270	393	1058
271	394	1055
272	395	1052
273	395	1048
274	396	1045
275	398	1045
276	399	1043
277	400	1039
278	401	1036
279	401	1033
280	402	1029
281	403	1026
282	403	1022
283	404	1019
284	405	1016
285	406	1014
286	406	1010
287	407	1007
288	408	1004
289	409	1001
290	409	998
291	410	995
292	411	992
293	412	991
294	413	988
295	414	986
296	415	983
297	416	980
298	416	977
299	417	974
300	418	971
301	418	968
302	419	965
303	420	962
304	421	959
305	421	956
306	422	954
307	423	951
308	424	948
309	424	945
310	425	943
311	426	941
312	427	938
313	428	937
314	429	934
315	430	931
316	431	929
317	431	926
318	432	923
319	433	921
320	434	918
321	435	916
322	435	913
323	436	910
324	437	907
325	437	905
326	438	902
327	439	899
328	439	897
329	440	895
330	441	893
331	442	890
332	443	889
333	444	886
334	445	884
335	446	881
336	446	878
337	447	876
338	448	873
339	448	871
340	449	868
341	450	866
342	451	863
343	451	861
344	452	858
345	453	856
346	453	853
347	454	851
348	455	849
349	456	847
350	457	845
351	458	843
352	459	841
353	459	838
354	460	836
355	460	833
356	461	831
357	462	828
358	463	826
359	463	824
360	464	822
361	465	820
362	466	817
363	466	815
364	467	813
365	468	811
366	469	809
367	470	807
368	471	806
369	472	804
370	473	802
371	474	800
372	474	798
373	475	795
374	476	793
375	476	791
376	477	789
377	478	786
378	478	784
379	479	782
380	480	780
381	480	778
382	481	775
383	482	773
384	483	771
385	484	769
386	485	769
387	486	767
388	487	766
389	488	764
390	489	762
391	489	759
392	490	757
393	491	755
394	492	753
395	492	751
396	493	749
397	494	748
398	495	745
399	495	743
400	496	741
401	497	739
402	498	737
403	499	737
404	501	736
405	502	735
406	503	733
407	504	731
408	504	729
409	505	727
410	506	725
411	507	723
412	508	722
413	508	720
414	509	718
415	510	716
416	510	714
417	511	712
418	513	711
419	514	710
420	516	710
421	517	708
422	517	706
423	518	704
424	519	702
425	520	700
426	520	698
427	521	697
428	522	695
429	523	693
430	524	692
431	525	690
432	525	688
433	526	686
434	527	685
435	529	684
436	530	683
437	531	682
438	532	680
439	533	678
440	533	676
441	534	674
442	535	673
443	536	671
444	537	669
445	537	668
446	538	666
447	539	664
448	539	662
